ID,Description
CLS029,New concentrate teal closure (replaces CLS024/CLS028)
LAB107,Drop Label 30ml
CLS021,CRC Smooth Sided closure - WHITE MATTE- Heat Induction Liners
MSC062V1,Select Essential Pouches - Rebrand
MSC068,Select FL Elite X Liquid Diamonds Pouch
MSC108,Find FL Teal-Tropical 1g Vape Pouch
MSC110,Find FL Yellow-Citrus 1g Vape Pouch
MSC033,THC 5 mg Sugar Free Nano Chews Bag 20 ct
MSC109,Find FL Purple-Berry 1g Vape Pouch
MSC088V2,Curaleaf FL 3.5G Flower Pouch SURP 5.50x5.50x2.0 - WhiteMETPET / OPP Matte
CLS008,CR Tincture Dropper Cap
MSC051,Curaleaf Vape Pouch
MSC068V1,Select FL Elite X Liquid Diamonds Pouch - Rebrand
MSC075,BNoble 2-ct pre-roll pouch
MSC043,THC Select Indica Classic Bites – Blueberry 10ct
MSC084,Select Elite Pouch
MSC096,GR Flower/Smalls Pouch 3.5g
MSC088,CL Flower/Smalls Pouch 3.5g
MSC062,Select Essential Pouches
MSC096V1,GR Flower/Smalls Pouch 3.5g - Wide
MSC127,Select FL Fruit Stiq Pouch - Tropical Green
MSC128,Select FL Fruit Stiq Pouch - Berry Pink
MSC129,Select FL Fruit Stiq Pouch - Citrus Orange
MSC029,THC 5 mg Nano Chews Bag 20 ct
LAB109,Curaleaf Balm Label
CLS030,CRC White 66/400 Lid for 50 Dram Jar
MSC093,Find Flower/Smalls Pouch 7g
MSC016,Pre-Rolls Exit Bag with Logo
BOT065,CRC White 50 Dram Flower Jar
CAR075-SLV,Select Cliq Pod Box FL Sleeve
MSC049,Black Type C – Charger
BOT028,40 Dram Child Resistant Jar Airtight - 0.25 oz  (7 g) Flower Jar
BOT034,Curaleaf Live Resin Concentrate Jar 5ml.
BOT052,9 ml Black Glass Jar
MSC052,SL Fresh Pouch
MSC070,Jams Chews 10ct - Outer Pouch
MSC101,Select Strawberry X Bite Pouch Rebrand
BOT032,Curaleaf Tablet Glass Bottles
MSC060,FL X Bites Mixed Fruit
MSC046,THC Select Indica Nano Bites – Pomegranate 20ct
MSC130,Select FL X Bite RSO Pouch - Blueberry
MSC131,Select FL X Bite RSO Pouch - Cherry
CAR049V2,Curaleaf Shatter Insert green for 5mL jar
MSC114,UKU Branded Vape Pouch
MSC061,FL X Bites Strawberry
MSC027V3,"CR Evergreen Dropper Mylar Bag, Generic, w/THC"
MSC042,THC Select Sativa Classic Bites – Passion Fruit 10ct
MSC044,THC Select Hybrid Classic Bites – Strawberry Peach 10ct
MSC069V1,Select Live Rosin 510 Solventless Extract Pouch - Rebrand
MSC063,THC Chews Bags 20ct
MSC106V1,CL Ground flower pouch 7g large
MSC031V1,THC 10 mg Chews Bag  20 ct
MSC059,FL X Bites Orange
MSC034,THC 5 mg Sugar Free Nano Chews Bag 4ct
MSC055,Blue Kudu Chocolate Bar 20ct
MSC103,Select LR Mango Rosin X Bite Pouch
MSC106,CL Ground Flower Pouch 7g
MSC057,Mood Pouch - Blackberry 20 ct CBN
MSC104,Select LR Blackberry Lemon Rosin X Bite Pouch
MSC100,Select Mixed Fruit X Bite Pouch Rebrand
MSC105,Select LR Lime Rosin X Bite Pouch
CAR077,Evergreen Kief Insert
MSC041,Mints Pouch
MSC089,CL Flower/Smalls Pouch 7g
MSC073,Jams Chocolate 20ct - Outer Pouch
MSC063V1,THC Chews Bags 20ct. - Rebrand
MSC107,Jams Chocolate Bar 20 ct - Fast Acting
MSC045,THC Select Sativa Nano Bites – Tangerine 20ct
CAR053V2,Curaleaf Crumble Insert green for 5mL jar
CAR091,Grassroots FL Shorties 5pk Pre-roll Tray
CAR091V1,GR 5ct tray 3x2x0.5
MSC071,Jams Fast- Acting Chews 20ct - Outer Pouch
BOT048,20 Dram Clear Glass
MSC074,Jams Tablets 40ct - Outer Pouch
MSC066,Select FL- Salted Caramel XBites Pouch 10mg / 10pcs
MSC092,Find Flower/Smalls Pouch 3.5g
MSC030,THC 5 mg Nano Chews Bag  4 ct
MSC032,THC 10 mg Chews Bag  4 ct
MSC123,20CT Outer – CR Metalized Mylar - 6.5”W x 6.5”H x 2.5”G
CAR076v1,Select Squeeze THC Nano Drops Box 30ml w THC
MSC112,Select Mega X Bite 10 ct - Mixed Fruit
MSC080,Grassroots FL Shorties 5pk Pre-roll Pouch
MSC047,THC Select Hybrid Nano Bites – Peach Mango 20ct
MSC094,Find Flower/Smalls Pouch 14g
MSC058,Mood Pouch - Mango 20 ct CBD
MSC076,Find 14g Pouch 5.0x8.25
MSC078,Find 10g Pre-Roll Pouch 5x7.25
CAR050V2,Curaleaf Wax Insert green for 5mL jar
CAR090,Find Pre-Roll Tray 10ct
MSC023,9x7x5 Pre Roll 50ct  Box
MSC082,FL Essential Disposable Vape Pouch
MSC014,Ounce  CR Bag White 6x9.8
CAR091V1-KIT,CAR091V1 AND CAR093V1 Kitted
CAR073,THC Drops 30ml Box
MSC095,Find Flower/Smalls Pouch 28g
BOT063,New concentrate bottle (replace BOT034/BOT052)
MSC077,Find 28g Pouch 6.0x9.25
CLS025,Plant Precision FL Relieve Gel Closure
CAR089,BNoble 2-ct pre-roll tray
CAR074,THC Drops 60ml Box
CAR081,Select Solventless Insert black for 9mL jar
CAR083,Select FL Diamonds THCA Concentrate Card
CAR080,Select Solventless Insert black for 5mL jar
BOT056,9ml Opal Glass Concentrate Jar
MSC085,Select Essentials Disposable Briq Charger
BOT042,1mL  Glass Syringe Luer Lock Tip without Curaleaf Logo
BOT044,1mL  Glass Syringe Luer Lock Tip with Curaleaf Logo White
CAR075,Select Cliq Pod Box
MSC024,12x12x5  Jars 50ct  Box
BOT041v1,Select Squeeze Bottle THC Nano Drops 30ml - empbosse
CAR075-EZL,Select Cliq Pod Box EZ-Lock Insert
CAR059v2,"Select (Purple, Indica) w THC Without Window"
CAR058v1,"Select (Red, Hybrid)"
CAR071v1,Select Elite Live Sativa YellowWindowBox w THC
